frame_id,x,y,z,t_norm,match_count,status
0,0.22699545298970336,-0.7472263390785009,0.6246005623671343,0.9999999999999999,79,updated
1,0.20950503781244334,-0.8120194699640882,-0.3731448638649131,0.9999999999999999,60,updated
3,-0.004265174049964543,-0.5223432150037619,0.5598020605806638,0.9999999999999999,198,updated
5,-0.17475321682086525,-0.2858020885394927,1.5163490394390795,0.9999999999999999,486,updated
6,-0.7972208832857979,-0.5399047454292081,2.25659619003629,0.9999999999999999,462,updated
12,-1.2544181607149631,-1.4281107713195174,2.301991179666228,0.9999999999999999,232,updated
13,-1.0725173504337717,-1.4106180669652535,1.318829900672074,0.9999999999999999,427,updated
16,-1.2572789849135126,-1.8569603079986845,2.194410703507329,0.9999999999999999,567,updated
18,-0.672828923737829,-2.6457181488448063,2.384881684224875,0.9999999999999999,577,updated
25,-0.8447289360507529,-2.555103359283625,3.3658196770050504,0.9999999999999999,592,updated
28,-1.105063518999237,-3.5043821844116714,3.5421591708359963,0.9999999999999999,253,updated
29,-0.8502178226328092,-3.572257617021131,2.577562572930121,0.9999999999999999,115,updated
35,-0.3272945261471114,-3.225870079604215,1.7987385235359237,0.9999999999999999,564,updated
39,-0.3412169048356903,-3.180613151370451,0.7998601636649654,0.9999999999999999,181,updated
50,-0.8469179130843245,-3.2996941513433993,-0.05459065744866509,0.9999999999999999,343,updated
51,-1.1007137802634395,-3.354349837127382,-1.020303044142697,0.9999999999999999,644,updated
52,-1.7476737933854625,-4.116689813563127,-1.037051230584781,0.9999999999999999,169,updated
57,-1.5940390109514364,-4.086061174639332,-2.0247041251302913,0.9999999999999999,577,updated
58,-1.56701493913992,-4.130817640624991,-3.0233364690362956,0.9999999999999999,585,updated
60,-1.7316932562714624,-4.026126042020108,-2.0425608978436416,0.9999999999999998,468,updated
62,-1.205530691126255,-3.176645280326352,-2.081744957766167,0.9999999999999999,677,updated
69,-0.2084725216463048,-3.1139985513982813,-2.0375816921724246,0.9999999999999999,697,updated
80,-0.07937902118600679,-3.143045630886329,-1.0463747837460748,0.9999999999999999,540,updated
82,-0.26963623321485686,-3.3383438189404524,-2.0084874647838964,0.9999999999999999,688,updated
84,0.19196797541227884,-3.478122362421188,-2.8844917532209564,0.9999999999999999,680,updated
87,0.4252437289007929,-3.488714094017859,-3.8568446922591173,0.9999999999999999,717,updated
92,0.5781245576588029,-3.361089077417336,-2.876875658393261,0.9999999999999998,681,updated
93,0.9324058774821852,-4.284585305657419,-2.7297720797469793,0.9999999999999999,699,updated
96,0.7248272541056887,-4.2701114050126465,-3.7078833317614133,0.9999999999999999,755,updated
97,1.6185875074213545,-4.71728490335086,-3.6728337671838007,0.9999999999999999,797,updated
98,1.749194027041292,-4.713237045968335,-2.6814077478140357,0.9999999999999999,754,updated
100,0.814024547820712,-4.6030124780894806,-2.344794334875352,0.9999999999999998,762,updated
105,0.8466084430728398,-4.9329027073594185,-3.288251131131771,0.9999999999999999,658,updated
110,0.0241087129196792,-5.008320651198284,-3.851994270908297,0.9999999999999998,511,updated
112,0.12564994167378368,-4.931767413891121,-2.8601127352797224,0.9999999999999999,508,updated
115,-0.07664537448146641,-4.758475836820235,-3.823983387586313,0.9999999999999999,697,updated
118,0.5007048947081592,-5.335826106009861,-3.2466331183966872,0.9999999999999998,794,updated
119,0.38613498049914863,-5.938003177139576,-4.036732168999698,0.9999999999999999,745,updated
125,0.2351890050993627,-5.782520753470354,-3.0604942223695986,0.9999999999999999,773,updated
126,-0.3805634882537845,-5.311676630865357,-3.6922811161381475,0.9999999999999999,393,updated
127,-0.8439476385250971,-5.056283373253204,-2.8437238621808287,0.9999999999999998,390,updated
128,-0.8202126541179823,-5.139822296487588,-1.8475020501228747,0.9999999999999999,624,updated
130,-0.6508281411426556,-5.187743880096639,-2.8318863290447354,0.9999999999999999,627,updated
131,-0.7154030267119069,-5.2309088294441475,-3.8288652010884436,0.9999999999999999,507,updated
132,-0.48393162229952547,-5.328686509723321,-4.796780752249072,0.9999999999999999,463,updated
136,0.19037135062088872,-6.008552512842175,-5.08504750113608,0.9999999999999998,687,updated
140,0.1442988980377602,-6.849043231804743,-4.5451839253590505,0.9999999999999999,663,updated
141,0.0024995373519645925,-7.025826394953292,-5.519165780701486,0.9999999999999999,673,updated
142,0.0769879568117516,-7.209556316026725,-6.499316172972352,0.9999999999999999,758,updated
143,0.04287109019258987,-7.383058836467729,-7.483558477901738,0.9999999999999999,701,updated
145,0.25988555193123314,-8.055114009820906,-6.775570789191322,0.9999999999999998,721,updated
147,0.33138563554062206,-7.962825787860763,-7.768732720666389,0.9999999999999999,772,updated
150,0.3973461698879613,-7.94933169102816,-8.766463705080167,0.9999999999999999,854,updated
153,0.42431246654405924,-8.943784061381,-8.66479118202564,0.9999999999999999,647,updated
154,0.5936327177242096,-9.19183226388695,-9.618626986435318,0.9999999999999999,631,updated
158,0.1859095717203743,-8.377393181341672,-9.205770089877273,0.9999999999999999,809,updated
160,-0.12575500134281364,-8.202926991694184,-8.271732219891678,0.9999999999999999,765,updated
162,-0.7031052705324392,-7.625576722504558,-8.849082489081304,0.9999999999999998,787,updated
165,-0.8031526488810946,-7.444591714044546,-7.870698643753567,0.9999999999999999,754,updated
167,-0.7739843025076848,-7.944986490325702,-8.736004529230126,0.9999999999999999,861,updated
170,-0.6202855172101117,-7.5586128048781545,-7.826558511815277,0.9999999999999999,795,updated
176,-0.5115742447787693,-7.518034911537165,-6.833313681061869,0.9999999999999999,205,updated
178,-0.385918059997464,-7.463669658582488,-5.842730548509441,0.9999999999999999,272,updated
186,-0.434637044779122,-7.47477252272241,-6.841481361740517,0.9999999999999998,773,updated
188,-0.49853891095190617,-6.790209430696056,-7.56762867774117,0.9999999999999999,794,updated
189,0.09700842663161424,-5.987226577498095,-7.590907555876584,0.9999999999999999,633,updated
195,0.2302721978096057,-5.9152204078848705,-8.57936892529324,0.9999999999999999,10,updated
198,0.24905546265452236,-5.901285025557392,-7.579642465664831,0.9999999999999999,613,updated
201,0.30698366751281125,-5.85571659756422,-8.576922687795063,0.9999999999999999,732,updated
203,0.3076928483330054,-6.855061901047363,-8.613095349692522,0.9999999999999998,785,updated
204,0.48016795584527905,-7.148418977790945,-9.553411234282954,0.9999999999999998,822,updated
210,0.6414562762539804,-8.033813456127042,-9.117449429268238,0.9999999999999999,780,updated
213,0.5120196252938728,-7.459918415674952,-8.308814384311166,0.9999999999999999,832,updated
214,0.44092032549273796,-6.5862779439104715,-7.827465014660676,0.9999999999999998,843,updated
216,0.12811092920152312,-6.171850151958591,-6.9728306560898226,0.9999999999999999,813,updated
217,-0.8683448579536642,-6.175396050302412,-7.056874042800921,0.9999999999999999,747,updated
219,-1.5586756244257784,-6.203620485174883,-7.779817203871106,0.9999999999999999,811,updated
225,-0.9190549457720599,-6.970953752856737,-7.734154924610812,0.9999999999999998,783,updated
230,-0.7292111081182011,-7.485629678841021,-8.570257794189116,0.9999999999999999,875,updated
234,-0.6508102250582809,-7.30274130845565,-7.590255168930792,0.9999999999999999,777,updated
236,-0.5725966962039939,-8.115115451191404,-8.168122710949296,0.9999999999999999,794,updated
248,-0.5878746052582556,-8.1440336630497,-9.167587729105433,0.9999999999999998,790,updated
249,-0.7992186000612768,-8.006678238309929,-8.199875373518683,0.9999999999999998,758,updated
