timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1753271450.8936567,-0.005,-0.019,1.027,-2.739,1.976,-0.336,-514.015,94.596,21.891
1753271451.0177705,-0.005,-0.022,1.033,-2.739,1.938,-0.313,-514.015,97.501,21.54
1753271451.1413522,-0.003,-0.021,1.028,-2.747,2.022,-0.336,-513.652,96.049,20.49
1753271451.2661302,-0.005,-0.021,1.032,-2.686,1.945,-0.32,-512.2,95.686,19.789
1753271451.388984,-0.006,-0.021,1.029,-2.785,1.999,-0.275,-513.471,95.504,18.913
1753271451.5136752,-0.004,-0.02,1.028,-2.686,1.892,-0.275,-513.289,97.864,22.591
1753271451.6382205,-0.007,-0.022,1.029,-2.701,1.961,-0.313,-513.834,95.504,20.665
1753271451.7641876,-0.008,-0.022,1.03,-2.686,1.991,-0.259,-510.929,95.141,21.015
1753271451.8900614,-0.006,-0.021,1.027,-2.701,1.968,-0.427,-512.744,97.683,21.365
1753271452.015969,-0.005,-0.02,1.029,-2.708,2.083,-0.282,-512.381,97.32,19.964
1753271452.1425745,-0.005,-0.022,1.03,-2.686,1.976,-0.298,-513.107,96.23,23.116
1753271452.269355,-0.005,-0.02,1.03,-2.678,1.808,-0.359,-513.652,96.775,22.241
1753271452.395767,-0.007,-0.02,1.033,-2.739,1.953,-0.313,-512.563,96.049,20.49
1753271452.5218585,-0.004,-0.02,1.031,-2.708,1.961,-0.298,-513.471,98.409,22.766
1753271452.6484668,-0.004,-0.02,1.033,-2.747,1.892,-0.359,-513.652,97.864,21.891
1753271452.7748039,-0.004,-0.021,1.031,-2.808,1.945,-0.359,-512.018,96.957,21.015
1753271452.903535,-0.006,-0.02,1.029,-2.678,1.968,-0.305,-516.194,97.501,23.642
1753271453.0352259,-0.005,-0.021,1.031,-2.792,1.884,-0.359,-514.197,96.23,20.314
1753271453.1598175,-0.005,-0.021,1.03,-2.663,1.976,-0.298,-512.926,96.775,20.49
1753271453.2841413,-0.005,-0.02,1.031,-2.716,1.907,-0.244,-514.378,93.507,23.642
1753271453.4074373,-0.007,-0.022,1.029,-2.708,1.938,-0.32,-515.468,98.954,21.891
1753271453.5294833,-0.006,-0.02,1.028,-2.701,1.968,-0.298,-514.197,95.504,21.365
1753271453.6521153,-0.007,-0.022,1.029,-2.708,1.93,-0.397,-513.471,96.957,18.913
1753271453.7722342,-0.003,-0.022,1.029,-2.686,1.869,-0.366,-512.926,96.412,22.241
1753271453.9024222,-0.005,-0.021,1.028,-2.823,1.93,-0.221,-514.378,96.775,21.891
1753271454.0184326,-0.006,-0.02,1.028,-2.731,1.915,-0.244,-513.471,95.867,21.365
1753271454.1445484,-0.006,-0.02,1.031,-2.724,1.968,-0.267,-512.744,98.409,21.365
1753271454.2664857,-0.006,-0.021,1.032,-2.739,1.892,-0.282,-512.381,98.409,21.715
1753271454.38349,-0.007,-0.019,1.032,-2.8,1.862,-0.336,-515.468,99.317,21.891
1753271454.502403,-0.005,-0.022,1.029,-2.747,1.839,-0.305,-513.289,95.686,20.84
1753271454.6887002,-0.006,-0.019,1.03,-2.731,1.945,-0.45,-514.015,94.959,21.54
1753271454.895062,-0.007,-0.021,1.028,-2.686,1.968,-0.305,-515.649,95.867,19.964
1753271455.0393515,-0.003,-0.022,1.033,-2.762,1.877,-0.351,-516.376,95.867,19.964
1753271455.1585932,-0.006,-0.021,1.033,-2.762,1.808,-0.32,-513.107,96.593,21.365
1753271455.2811115,-0.006,-0.022,1.029,-2.785,2.045,-0.259,-511.473,98.228,25.043
1753271455.4008403,-0.005,-0.021,1.029,-2.754,1.968,-0.328,-514.015,96.049,20.49
1753271455.519889,-0.004,-0.021,1.032,-2.678,1.892,-0.244,-512.2,94.959,22.591
