frame_id,x,y,z,t_norm,avg_flow,status
50,0.0,0.0,0.0,0.0,0.015341381,idle
51,0.0,0.0,0.0,0.0,0.016164586,idle
55,-0.38144635068820104,0.8878592520452357,-0.2573026041538024,0.9999999999999999,3.447896,updated
56,-0.44090369068111535,1.2695675891941893,0.6650658526312005,0.9999999999999999,6.528705,updated
58,-0.6585163319064138,1.4529042892161614,-0.29359591921745454,0.9999999999999999,2.8255494,updated
60,-1.1311803740709543,2.327698068982868,-0.4000127699797083,0.9999999999999999,1.8860179,updated
66,-0.44271710485982896,2.093074126161449,-1.0862852613430594,0.9999999999999999,0.987627,updated
67,-0.44271710485982896,2.093074126161449,-1.0862852613430594,0.0,0.46572524,idle
68,0.005951809337628455,2.2656044910510484,-0.20939902093103413,0.9999999999999999,0.78561026,updated
69,-0.9900512015095337,2.3269034128548953,-0.27436396970399446,0.9999999999999999,3.9953268,updated
73,0.005603600084839622,2.308796048319945,-0.1830204455127997,0.9999999999999999,6.807404,updated
74,0.6787613968520133,2.1680609660080647,0.5429631750036915,0.9999999999999999,10.315896,updated
78,1.6744611469134931,2.1211809065340788,0.6228647879487508,0.9999999999999999,7.564033,updated
80,1.5640070129352712,2.4630120608861144,-0.3103829531154726,0.9999999999999999,19.780916,updated
82,2.536181744375674,2.6424420844255727,-0.15978030306770666,0.9999999999999998,1.5257152,updated
83,3.1196028645566716,3.453576219569035,-0.11877772593141797,0.9999999999999999,2.142501,updated
84,3.340515959480347,3.4076572694538227,0.8554341886495728,0.9999999999999999,2.450473,updated
91,3.5313102827191223,3.546439694936644,1.8272042049584538,0.9999999999999999,2.1570694,updated
92,3.5313102827191223,3.546439694936644,1.8272042049584538,0.0,0.48799643,idle
95,2.580776671327949,3.838487034143758,1.7214015335474784,0.9999999999999998,7.332485,updated
96,1.8288022687908696,4.092711387684968,1.1132038058342322,0.9999999999999999,35.125546,updated
101,1.8288022687908696,4.092711387684968,1.1132038058342322,0.0,0.39658093,idle
102,2.0160598075978,4.070787788404995,0.131137631915905,0.9999999999999999,3.1297657,updated
103,2.203119537240264,4.041155490149572,-0.8507638827209703,0.9999999999999999,2.7030473,updated
104,2.418765502901019,4.111796488070947,0.12314918676054798,0.9999999999999999,7.120735,updated
106,1.4286162819838575,4.123987557429603,-0.016335214320829045,0.9999999999999999,6.055247,updated
110,2.4076386687580387,3.946789477872583,0.0842431471506581,0.9999999999999999,1.6699677,updated
112,3.190450956676085,3.359362260754927,0.2895092828718711,0.9999999999999998,0.7022647,updated
119,2.3445996427616764,3.50457455832355,0.8027820596525128,0.9999999999999999,7.5183244,updated
121,3.299732935256743,3.431817089675431,1.0898826418940892,0.9999999999999999,2.3796773,updated
124,3.299732935256743,3.431817089675431,1.0898826418940892,0.0,0.4236766,idle
129,3.515694470465887,3.4073172645683556,2.0659770911559585,0.9999999999999999,0.8968435,updated
130,2.5194684357126618,3.494098968667087,2.067596817548139,0.9999999999999999,3.3388865,updated
131,1.5640162426095565,3.766199948220107,1.9532632545810327,0.9999999999999999,1.9969996,updated
137,1.7416400289230891,3.668380338246299,2.93248800633122,0.9999999999999999,4.3133197,updated
141,1.20453758838349,3.2582252408525085,2.195403367739222,0.9999999999999998,0.7722086,updated
143,0.27130972582651025,2.9188426219240076,2.0774830789142578,0.9999999999999999,0.8871626,updated
146,0.308563921106912,2.848008309195735,1.0806909114719554,0.9999999999999999,34.503704,updated
147,0.3377697312466531,2.9249111893211377,2.07730165177255,0.9999999999999999,1.3630835,updated
149,0.3377697312466531,2.9249111893211377,2.07730165177255,0.0,0.35297188,idle
150,0.1491563106371876,2.8592779867342997,3.0571573861968537,0.9999999999999999,0.66951084,updated
151,0.1491563106371876,2.8592779867342997,3.0571573861968537,0.0,0.26468435,idle
152,0.1491563106371876,2.8592779867342997,3.0571573861968537,0.0,0.03831079,idle
153,0.1491563106371876,2.8592779867342997,3.0571573861968537,0.0,0.044525094,idle
154,0.1491563106371876,2.8592779867342997,3.0571573861968537,0.0,0.021954019,idle
155,0.1491563106371876,2.8592779867342997,3.0571573861968537,0.0,0.016147241,idle
156,0.1491563106371876,2.8592779867342997,3.0571573861968537,0.0,0.015844822,idle
157,0.1491563106371876,2.8592779867342997,3.0571573861968537,0.0,0.01921823,idle
158,0.1491563106371876,2.8592779867342997,3.0571573861968537,0.0,0.015510418,idle
159,0.1491563106371876,2.8592779867342997,3.0571573861968537,0.0,0.013969371,idle
160,0.1491563106371876,2.8592779867342997,3.0571573861968537,0.0,0.014030937,idle
161,0.1491563106371876,2.8592779867342997,3.0571573861968537,0.0,0.012565051,idle
162,0.1491563106371876,2.8592779867342997,3.0571573861968537,0.0,0.013898039,idle
163,0.1491563106371876,2.8592779867342997,3.0571573861968537,0.0,0.011666315,idle
164,0.1491563106371876,2.8592779867342997,3.0571573861968537,0.0,0.012531445,idle
165,0.1491563106371876,2.8592779867342997,3.0571573861968537,0.0,0.014823599,idle
166,0.1491563106371876,2.8592779867342997,3.0571573861968537,0.0,0.011938311,idle
167,0.1491563106371876,2.8592779867342997,3.0571573861968537,0.0,0.011171657,idle
168,0.1491563106371876,2.8592779867342997,3.0571573861968537,0.0,0.01359787,idle
169,0.1491563106371876,2.8592779867342997,3.0571573861968537,0.0,0.013444155,idle
170,0.1491563106371876,2.8592779867342997,3.0571573861968537,0.0,0.01296981,idle
171,0.1491563106371876,2.8592779867342997,3.0571573861968537,0.0,0.014496846,idle
172,0.1491563106371876,2.8592779867342997,3.0571573861968537,0.0,0.011496509,idle
173,0.1491563106371876,2.8592779867342997,3.0571573861968537,0.0,0.011640808,idle
174,0.1491563106371876,2.8592779867342997,3.0571573861968537,0.0,0.01257493,idle
175,0.1491563106371876,2.8592779867342997,3.0571573861968537,0.0,0.014568047,idle
176,0.1491563106371876,2.8592779867342997,3.0571573861968537,0.0,0.015181365,idle
177,0.1491563106371876,2.8592779867342997,3.0571573861968537,0.0,0.012030644,idle
178,0.1491563106371876,2.8592779867342997,3.0571573861968537,0.0,0.017215764,idle
179,0.1491563106371876,2.8592779867342997,3.0571573861968537,0.0,0.012891338,idle
180,0.1491563106371876,2.8592779867342997,3.0571573861968537,0.0,0.013763649,idle
181,0.1491563106371876,2.8592779867342997,3.0571573861968537,0.0,0.011656318,idle
182,0.1491563106371876,2.8592779867342997,3.0571573861968537,0.0,0.014698586,idle
183,0.1491563106371876,2.8592779867342997,3.0571573861968537,0.0,0.012404336,idle
184,0.1491563106371876,2.8592779867342997,3.0571573861968537,0.0,0.011440766,idle
185,0.1491563106371876,2.8592779867342997,3.0571573861968537,0.0,0.017225951,idle
186,0.1491563106371876,2.8592779867342997,3.0571573861968537,0.0,0.013026834,idle
187,0.1491563106371876,2.8592779867342997,3.0571573861968537,0.0,0.012753679,idle
188,0.1491563106371876,2.8592779867342997,3.0571573861968537,0.0,0.011457863,idle
189,0.1491563106371876,2.8592779867342997,3.0571573861968537,0.0,0.012496736,idle
190,0.1491563106371876,2.8592779867342997,3.0571573861968537,0.0,0.015070128,idle
