timestamp,fps,x,y,z,R00,R01,R02,R10,R11,R12,R20,R21,R22
1753097890.2350342,9.37,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1753097890.3801014,9.39,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1753097890.5411339,9.2,0.015968613272048956,-5.473420400164392e-05,-0.047381434711400036,0.9999989646373547,-0.0009700018067699385,-0.001062930248581688,0.0009534731530784552,0.9998803138513364,-0.015441789452634747,0.0010777815942226415,0.015440759989326916,0.9998802034832908
1753097890.6939301,8.14,0.002416481339221008,-0.004863642681198448,-0.09526895180830004,0.9999985821539615,0.0003694688369264355,-0.00164291900153099,-0.0004384683326883787,0.9991091685909376,-0.042198068475305106,0.001625864566401798,0.04219872901289606,0.9991079140083456
1753097890.9084992,8.67,0.038330203073052606,0.01161069083885881,-0.1259088126612536,0.9999837770467199,-0.0026093372379649114,-0.005063299571852818,0.0023325163155953244,0.9985420920151905,-0.053928191528772325,0.005196634585309803,0.05391550642537843,0.9985319790351641
1753097891.0626576,5.67,0.03819973635042559,0.06153779635225076,-0.12321303954845314,0.9999837770333528,-0.00260933935001819,-0.005063301123555018,0.0023325183013272336,0.9985420915994675,-0.05392819914047242,0.005196636266405586,0.05391551402256044,0.9985319786162064
1753097891.22837,8.5,0.03611878678657947,0.03839363040733246,-0.07894095733403583,0.9999849718129696,-0.0006369271454061172,-0.005445224699420117,0.0004214707792854587,0.999220354336801,-0.039477915869759864,0.0054661239098597715,0.039475027585159084,0.9992056063126102
1753097891.374421,7.79,0.03611878678657947,0.03839363040733246,-0.07894095733403583,0.9999849718129696,-0.0006369271454061172,-0.005445224699420117,0.0004214707792854587,0.999220354336801,-0.039477915869759864,0.0054661239098597715,0.039475027585159084,0.9992056063126102
1753097891.5217032,9.47,0.03611878678657947,0.03839363040733246,-0.07894095733403583,0.9999849718129696,-0.0006369271454061172,-0.005445224699420117,0.0004214707792854587,0.999220354336801,-0.039477915869759864,0.0054661239098597715,0.039475027585159084,0.9992056063126102
1753097891.6660826,9.43,0.03611878678657947,0.03839363040733246,-0.07894095733403583,0.9999849718129696,-0.0006369271454061172,-0.005445224699420117,0.0004214707792854587,0.999220354336801,-0.039477915869759864,0.0054661239098597715,0.039475027585159084,0.9992056063126102
1753097891.8063614,9.53,0.03611878678657947,0.03839363040733246,-0.07894095733403583,0.9999849718129696,-0.0006369271454061172,-0.005445224699420117,0.0004214707792854587,0.999220354336801,-0.039477915869759864,0.0054661239098597715,0.039475027585159084,0.9992056063126102
1753097891.9498804,9.61,0.03611878678657947,0.03839363040733246,-0.07894095733403583,0.9999849718129696,-0.0006369271454061172,-0.005445224699420117,0.0004214707792854587,0.999220354336801,-0.039477915869759864,0.0054661239098597715,0.039475027585159084,0.9992056063126102
1753097892.0956485,9.42,0.03611878678657947,0.03839363040733246,-0.07894095733403583,0.9999849718129696,-0.0006369271454061172,-0.005445224699420117,0.0004214707792854587,0.999220354336801,-0.039477915869759864,0.0054661239098597715,0.039475027585159084,0.9992056063126102
1753097892.2415028,9.27,0.03611878678657947,0.03839363040733246,-0.07894095733403583,0.9999849718129696,-0.0006369271454061172,-0.005445224699420117,0.0004214707792854587,0.999220354336801,-0.039477915869759864,0.0054661239098597715,0.039475027585159084,0.9992056063126102
1753097892.383188,9.33,0.03611878678657947,0.03839363040733246,-0.07894095733403583,0.9999849718129696,-0.0006369271454061172,-0.005445224699420117,0.0004214707792854587,0.999220354336801,-0.039477915869759864,0.0054661239098597715,0.039475027585159084,0.9992056063126102
1753097892.5273066,9.58,0.03611878678657947,0.03839363040733246,-0.07894095733403583,0.9999849718129696,-0.0006369271454061172,-0.005445224699420117,0.0004214707792854587,0.999220354336801,-0.039477915869759864,0.0054661239098597715,0.039475027585159084,0.9992056063126102
1753097892.6739159,9.21,0.03611878678657947,0.03839363040733246,-0.07894095733403583,0.9999849718129696,-0.0006369271454061172,-0.005445224699420117,0.0004214707792854587,0.999220354336801,-0.039477915869759864,0.0054661239098597715,0.039475027585159084,0.9992056063126102
