frame_idx,x_gt,y_gt,z_gt,yaw,pitch,roll
"[0, 0.0, 0.0, 0, 0.3481579825878214, 3.657616372426671, -6.181684379166169]"
"[1, 0.0, 0.0, 0, 0.4430379052162152, 3.617309121209789, -6.048603110776221]"
"[2, 0.0, 0.0, 0, 0.4998510124683264, 3.398266739304983, -5.606121864788357]"
"[3, 0.0, 0.0, 0, 0.528482815504077, 3.0110099782171553, -4.841794682593393]"
"[4, 0.0, 0.0, 0, 0.5716840946674324, 2.553801836646093, -3.9387508239497757]"
"[5, 0.0, 0.0, 0, 0.6019021828174687, 2.1067890921943158, -3.15770477250722]"
"[6, 0.0, 0.0, 0, 0.6137180910110374, 1.648001567974096, -2.4487050888266593]"
"[7, 0.0, 0.0, 0, 0.6243786687850843, 1.2248886459228607, -1.7610832525292883]"
"[8, 0.0, 0.0, 0, 0.6454567747116187, 0.8274566400471407, -1.1040413669254021]"
"[9, 0.0, 0.0, 0, 0.6793988380432268, 0.464685868471146, -0.5668473264399374]"
"[10, 0.0, 0.0, 0, 0.6793988380432268, 0.13362375522899353, -0.05299638017350755]"
"[11, 0.0, 0.0, 0, 0.7093797979354974, -0.17945957314757977, 0.4836999401149171]"
"[12, 0.0, 0.0, 0, 0.7340165913105068, -0.4820122794907299, 0.9792009543203491]"
"[13, 0.0, 0.0, 0, 0.8609884378909953, -0.7607839260131425, 1.385023627278995]"
"[14, 0.0, 0.0, 0, 0.9000374696254596, -0.9830070471346152, 1.6944274643455883]"
"[15, 0.0, 0.0, 0, 0.923603198766699, -1.179315819204929, 2.0090072265923045]"
"[16, 0.0, 0.0, 0, 0.9424034001827124, -1.3382838279332259, 2.240076747327346]"
"[17, 0.0, 0.0, 0, 0.9544794721603296, -1.502448573492238, 2.5411125833949577]"
"[18, 0.0, 0.0, 0, 0.9729268503189132, -1.6711559915983352, 2.840133102697668]"
"[19, 0.0, 0.0, 0, 0.9563152303695688, -1.8107615047653027, 3.0718105318024516]"
"[20, 0.0, 0.0, 0, 0.9782371649742174, -1.9318382569884924, 3.262639345250505]"
"[21, 0.0, 0.0, 0, 1.0125409114360764, -2.01894758393676, 3.411576641604679]"
"[22, 0.0, 0.0, 0, 1.0427577044963812, -2.1227331804357754, 3.514378349581294]"
"[23, 0.0, 0.0, 0, 1.1056104090213807, -2.1938637210517045, 3.6517857645141754]"
"[24, 0.0, 0.0, 0, 1.1654106345176558, -2.2736136361622674, 3.7295102998785405]"
"[25, 0.0, 0.0, 0, 1.2627698054313612, -2.2769648348565514, 3.802354461711955]"
"[26, 0.0, 0.0, 0, 1.321677231788641, -2.319713662007485, 3.822015764955069]"
"[27, 0.0, 0.0, 0, 1.3954409894943183, -2.356026998780704, 3.861454001540065]"
"[28, 0.0, 0.0, 0, 1.4212540969848533, -2.415441218012731, 3.940488354635496]"
"[29, 0.0, 0.0, 0, 1.4316144392490457, -2.4389350197868374, 4.009932806392563]"
"[30, 0.0, 0.0, 0, 1.4412507078647536, -2.4707754924554988, 4.054748121532264]"
"[31, 0.0, 0.0, 0, 1.4641689128875726, -2.5128292435707777, 4.141655784795351]"
"[32, 0.0, 0.0, 0, 1.4733721771240198, -2.5221113795219843, 4.190828957339085]"
"[33, 0.0, 0.0, 0, 1.471971351623523, -2.5403652728033217, 4.260852682160998]"
"[34, 0.0, 0.0, 0, 1.5324102382659817, -2.5333835891230376, 4.213494175318628]"
"[35, 0.0, 0.0, 0, 1.534795439720142, -2.5638779244684873, 4.351558431180155]"
"[36, 0.0, 0.0, 0, 1.5490214567184353, -2.577917724127686, 4.438221500149496]"
"[37, 0.0, 0.0, 0, 1.5853297877311832, -2.5662048856937894, 4.3221401257185]"
"[38, 0.0, 0.0, 0, 1.6218469033241263, -2.5349027925393544, 4.238119008622816]"
"[39, 0.0, 0.0, 0, 1.6686489164829368, -2.491867368595956, 4.289336075220306]"
"[40, 0.0, 0.0, 0, 1.7529849064350174, -2.4815044658698557, 4.168390484847489]"
"[41, 0.0, 0.0, 0, 1.760815180540078, -2.385779778116184, 3.9925357752181654]"
"[42, 0.0, 0.0, 0, 1.7729846055507608, -2.3750440215704, 3.833916945652357]"
"[43, 0.0, 0.0, 0, 1.7539927957057841, -2.411781773062343, 3.7189137740386484]"
"[44, 0.0, 0.0, 0, 1.7394681689739286, -2.4196633411005077, 3.7143823404602427]"
"[45, 0.0, 0.0, 0, 1.71638917517663, -2.365518616523224, 3.637869610691969]"
"[46, 0.0, 0.0, 0, 1.7438467340469401, -2.3458288130371567, 3.6195312875248926]"
"[47, 0.0, 0.0, 0, 1.7701231555938648, -2.319583902146382, 3.5288439556954847]"
"[48, 0.0, 0.0, 0, 1.8536925830840971, -2.2734346230352953, 3.4645353421020837]"
"[49, 0.0, 0.0, 0, 1.8897066154480058, -2.2803811839069903, 3.4798774549899196]"
"[50, 0.0, 0.0, 0, 1.9067210664749155, -2.279104248105008, 3.496516263740231]"
"[51, 0.0, 0.0, 0, 1.8535907962322256, -2.2998131254768106, 3.332211459975239]"
"[52, 0.0, 0.0, 0, 0.8671329929828744, -2.347627377316012, 2.7312533158612506]"
"[53, 0.0, 0.0, 0, 1.4394705326557187, -2.197294450854501, 1.9107915374074944]"
"[54, 0.016061999772396224, 0.4693944711987473, 0, 1.9598140072822616, -2.146098694758685, 1.8343787527340443]"
"[55, 0.016061999772396224, 0.4693944711987473, 0, 2.289533341646205, -2.112293844033352, 1.6362932357801534]"
"[56, 0.016061999772396224, 0.4693944711987473, 0, 2.5296727375984176, -2.10659418779992, 1.7817476755597794]"
"[57, 0.016061999772396224, 0.4693944711987473, 0, 2.2359629707336524, -2.2602582820851906, 1.4772771519728674]"
"[58, 0.029477749177042885, 0.9388720266756325, 0, 1.6368337249755882, -2.24595100103275, 1.6725657317928482]"
"[59, 0.029477749177042885, 0.9388720266756325, 0, 1.5719124910831397, -2.237226305074531, 2.14407113011829]"
