frame_idx,x,y,z,yaw,pitch,roll
"[1, -0.0, -0.0, 0.0, 0.0, 0.0, -0.0]"
"[2, 0.7427342300952718, 0.0295966416170148, -0.7433246201254256, -0.43385096317366917, -0.34943245840223663, -0.5124745045540083]"
"[3, -0.18732965899045576, -0.007605397688767041, 0.18748423589405316, -0.4931060405838947, -0.3396028816259117, -0.7368085058907554]"
"[4, -0.193343274611602, -0.008292440698295312, 0.1935213505993799, -0.49310604058403135, -0.33960288162611524, -0.7368085058906884]"
"[5, -1.1324387749860576, -0.05355022031010124, 1.1337070308875452, -0.4133517946711073, -0.009746496595561807, -0.7751511707534599]"
"[6, -1.2127866391272797, -0.05847794562346663, 1.2141989422218584, 0.6116984082270824, 1.2928604625721958, -2.912064297442967]"
"[7, -1.1709196985702743, -0.05801828977673, 1.1723597344999765, 0.8409646442730048, 0.8002621164793233, -4.280210803399899]"
"[8, -1.2063825558154224, -0.06357676989061546, 1.2080613121348218, -0.9132385866566861, 0.6909939029779372, 0.9423070650259744]"
"[9, -2.079531831004012, -0.12475987417553155, 2.0832843992170407, -0.8895703790567202, 1.035976171527343, 0.9343204804626173]"
"[10, -3.018475050749966, -0.31796935451783426, 3.0353633492860146, -1.188744667063939, 1.825371168212036, 0.762846810267799]"
"[11, -3.938640261218054, -0.3517388686138056, 3.9544407923172344, -0.7794460866847719, 7.262511979831393, -0.44114490419124436]"
"[12, -4.752859409149698, -0.4253065110982237, 4.772003595520083, -1.078787264653883, 7.904220260846168, -0.02221536224079411]"
"[13, -3.8793893661517944, -0.349546877650088, 3.8952336200853312, -1.1581783966761559, 7.808676157533628, 0.023000443612538102]"
"[14, -3.0103056297531974, -0.2777714765530294, 3.023203526863955, -1.0309623152516587, 7.700230153921606, -0.20995191440361782]"
"[15, -2.2137501201332426, -0.20373096827585163, 2.2231847520077967, -0.9267720952112041, 7.813097152039602, -0.4607832322683082]"
"[16, -2.308613391907752, -0.2121535097670754, 2.318423654726785, -0.9466287621553907, 7.381454141878282, -0.9961656463907654]"
"[17, -3.2777923890789946, -0.3099258025954293, 3.2925436137382107, -0.9537111623818703, 7.285503954139583, -1.0012302259273937]"
"[18, -3.83116474438896, -0.3579253761371051, 3.84799452835678, -1.0451976269952092, 7.3910200557963295, -0.8400111081406005]"
"[19, -3.8471673261286545, -0.07976665071358569, 3.84799452835678, -1.0451976269952092, 7.3910200557963295, -0.8400111081406005]"
"[20, -3.843928861792843, -0.1766543149814407, 3.84799452835678, -1.0451976269952092, 7.3910200557963295, -0.8400111081406005]"
"[21, -3.9914166810378537, 0.18613379818138284, 3.9957638093833046, -1.1409545097687501, 7.4308355941503645, -0.8530130211625431]"
"[22, -2.99417739498394, 0.13947409266757657, 2.99743116640145, -1.3269758246391214, -9.737282973356239, -0.3582429540738259]"
"[23, -2.015118484317423, 0.11974829005609545, 2.018685952844327, -1.2835955547653735, -10.491018551397742, -0.5395641690529]"
"[24, -1.0464554410291, 0.07169278414057279, 1.048919960594473, -1.1323685014360638, -12.45377240284139, -0.5949392896664134]"
"[25, -0.08391868053408987, 0.005289691628039949, 0.08408589297744173, -1.3115510109643866, -13.233554561000876, -0.6332841133720343]"
"[26, 0.7655214500164461, -0.050577287659550794, -0.7671977370076961, -1.5264273045161465, -12.983399756795441, -1.215164808021805]"
"[27, 1.695850294711271, -0.09869835299131902, -1.698729729931271, -1.283692815605052, -12.369414438218788, -1.0424650397052155]"
"[28, 2.6819661947796116, -0.18028300901628735, -2.688046160871097, -1.0824434128967773, -11.923333642562355, -0.6441347999839477]"
"[29, 3.643121340500355, -0.21349438159917364, -3.6493931032889075, -1.4559753512219427, -12.793827505643462, -0.17118599248968902]"
"[30, 4.58007896461181, -0.311145379780945, -4.590684440817533, -1.693913711217232, -13.523704302888307, -0.12583032140492506]"
"[31, 5.509134078530353, -0.09426928163374418, -5.509940797820532, -1.7976464690632272, -13.364567393298437, 0.9393048940517553]"
"[32, 6.501939720445059, -0.12617617553839747, -6.503164349246285, -1.7041477990110454, -5.632385040605324, 0.08703112938108035]"
"[33, 7.48241036685775, -0.23384853433795424, -7.486067292066814, -1.5848569302145328, -5.968359920908016, 0.4473976528366769]"
"[34, 7.892179439469349, -0.06728007460941364, -7.892466233200672, -1.3750567092214698, -5.997023375813761, 0.34079411105615376]"
"[35, 8.868958561624646, -0.13099169628954335, -8.86992607275927, -1.0985175320382916, -4.117327896593226, 0.4013967533904618]"
"[36, 9.63530467623894, -0.1369546166047459, -9.636278148806923, -1.5204585626111373, -6.041219694455061, 0.7448763689341554]"
