frame_id,class_name,mean_conf,std_conf
177,tv,0.702,0.0
177,mouse,0.514,0.0
178,laptop,0.666,0.0
178,tv,0.636,0.0
179,laptop,0.708,0.0
179,tv,0.622,0.0
180,tv,0.677,0.0
180,laptop,0.594,0.0
181,tv,0.507,0.0
182,laptop,0.614,0.0
184,laptop,0.736,0.0
185,laptop,0.715,0.0
186,laptop,0.567,0.0
187,laptop,0.842,0.0
188,laptop,0.75,0.0
190,laptop,0.727,0.0
191,laptop,0.751,0.0
192,laptop,0.572,0.0
196,laptop,0.583,0.0
199,laptop,0.873,0.0
200,laptop,0.893,0.0
201,laptop,0.765,0.0
201,mouse,0.693,0.0
202,laptop,0.838,0.0
202,mouse,0.737,0.0
203,laptop,0.856,0.0
203,mouse,0.839,0.0
204,mouse,0.843,0.0
204,laptop,0.79,0.0
205,mouse,0.872,0.0
205,laptop,0.865,0.0
206,mouse,0.873,0.0
206,laptop,0.846,0.0
207,mouse,0.861,0.0
207,laptop,0.834,0.0
208,mouse,0.83,0.0
208,laptop,0.661,0.0
209,mouse,0.883,0.0
209,laptop,0.763,0.0
210,mouse,0.797,0.0
210,laptop,0.787,0.0
211,mouse,0.903,0.0
211,laptop,0.742,0.0
212,mouse,0.884,0.0
212,laptop,0.733,0.0
212,person,0.535,0.0
213,mouse,0.891,0.0
213,laptop,0.803,0.0
214,mouse,0.862,0.0
214,laptop,0.787,0.0
216,laptop,0.861,0.0
217,laptop,0.774,0.0
218,laptop,0.802,0.0
219,laptop,0.812,0.0
220,laptop,0.736,0.0
221,laptop,0.525,0.0
222,laptop,0.646,0.0
223,laptop,0.501,0.0
228,knife,0.556,0.0
229,knife,0.813,0.0
230,cell phone,0.701,0.0
230,knife,0.551,0.0
231,cell phone,0.634,0.0
232,cell phone,0.609,0.0
232,knife,0.601,0.0
233,knife,0.773,0.0
233,cell phone,0.578,0.0
234,cell phone,0.739,0.0
235,cell phone,0.67,0.0
236,cell phone,0.532,0.0
237,cell phone,0.592,0.0
237,knife,0.539,0.0
238,cell phone,0.626,0.0
239,knife,0.656,0.0
240,cell phone,0.616,0.0
240,knife,0.556,0.0
241,knife,0.772,0.0
242,knife,0.597,0.0
243,cell phone,0.695,0.0
243,keyboard,0.662,0.0
244,cell phone,0.757,0.0
244,keyboard,0.524,0.0
245,cell phone,0.695,0.0
245,keyboard,0.627,0.0
246,cell phone,0.545,0.0
246,keyboard,0.542,0.0
247,cell phone,0.75,0.0
250,laptop,0.663,0.0
253,keyboard,0.529,0.0
255,laptop,0.834,0.0
256,laptop,0.757,0.0
256,keyboard,0.587,0.0
257,keyboard,0.727,0.0
257,laptop,0.527,0.0
258,laptop,0.809,0.0
259,laptop,0.834,0.0
260,laptop,0.859,0.0
261,laptop,0.814,0.0
262,laptop,0.869,0.0
264,mouse,0.955,0.0
264,laptop,0.732,0.0
264,keyboard,0.566,0.0
265,mouse,0.955,0.0
265,laptop,0.814,0.0
265,person,0.694,0.0
265,keyboard,0.61,0.0
265,snowboard,0.607,0.0
266,mouse,0.916,0.0
266,laptop,0.578,0.0
267,mouse,0.873,0.0
267,laptop,0.715,0.0
268,mouse,0.909,0.0
268,snowboard,0.69,0.0
268,keyboard,0.683,0.0
268,person,0.674,0.0
269,mouse,0.897,0.0
269,keyboard,0.665,0.15
270,mouse,0.943,0.0
270,keyboard,0.814,0.0
270,laptop,0.626,0.0
271,mouse,0.923,0.0
271,keyboard,0.722,0.0
272,mouse,0.944,0.0
272,keyboard,0.872,0.0
272,chair,0.592,0.0
272,laptop,0.509,0.0
273,mouse,0.951,0.0
273,keyboard,0.743,0.0
274,mouse,0.918,0.0
274,keyboard,0.806,0.0
274,chair,0.632,0.0
275,mouse,0.968,0.0
275,keyboard,0.671,0.0
276,mouse,0.937,0.0
276,keyboard,0.692,0.0
277,mouse,0.954,0.0
278,mouse,0.948,0.0
279,mouse,0.983,0.0
280,mouse,0.736,0.0
281,mouse,0.962,0.0
281,laptop,0.607,0.0
282,laptop,0.676,0.017
282,mouse,0.629,0.0
283,laptop,0.744,0.0
283,mouse,0.662,0.0
284,laptop,0.637,0.093
286,person,0.862,0.0
286,mouse,0.773,0.0
286,laptop,0.563,0.002
