frame_id,class_id,mean_conf,std_conf
112,66,0.624,0.0
113,64,0.966,0.0
113,63,0.787,0.0
113,66,0.519,0.0
114,64,0.898,0.0
114,63,0.732,0.0
114,66,0.69,0.0
114,0,0.511,0.0
115,64,0.989,0.0
115,66,0.764,0.0
115,63,0.604,0.0
116,64,0.975,0.0
116,66,0.774,0.0
116,63,0.608,0.0
117,64,0.965,0.0
117,0,0.527,0.0
118,64,0.983,0.0
119,64,0.972,0.0
119,66,0.777,0.0
120,64,0.949,0.0
120,66,0.893,0.0
121,64,0.936,0.0
121,66,0.605,0.0
121,0,0.586,0.0
122,64,0.985,0.0
122,66,0.775,0.0
122,0,0.574,0.0
123,64,0.984,0.0
123,0,0.525,0.0
123,66,0.51,0.0
124,64,0.97,0.0
125,64,0.97,0.0
126,64,0.928,0.0
126,0,0.535,0.02
126,66,0.538,0.0
127,64,0.95,0.0
127,0,0.715,0.0
128,64,0.837,0.0
128,0,0.554,0.0
129,64,0.915,0.0
130,64,0.786,0.0
131,0,0.539,0.0
131,64,0.519,0.0
133,64,0.922,0.0
133,63,0.624,0.0
133,66,0.571,0.0
134,64,0.956,0.0
134,66,0.622,0.0
135,64,0.931,0.0
135,66,0.633,0.0
135,63,0.503,0.0
136,64,0.911,0.0
136,66,0.629,0.0
137,64,0.9,0.0
138,64,0.774,0.0
138,66,0.522,0.0
139,64,0.914,0.0
139,66,0.543,0.015
140,64,0.711,0.0
141,64,0.933,0.0
141,66,0.741,0.0
142,64,0.862,0.0
142,63,0.57,0.07
143,64,0.96,0.0
143,66,0.742,0.0
143,63,0.682,0.0
144,64,0.95,0.0
144,66,0.761,0.0
144,63,0.557,0.0
145,64,0.91,0.0
145,66,0.77,0.0
145,63,0.645,0.0
146,64,0.936,0.0
146,66,0.733,0.0
146,63,0.622,0.0
147,64,0.96,0.0
147,66,0.752,0.0
147,63,0.631,0.0
148,64,0.947,0.0
148,66,0.792,0.0
148,63,0.62,0.0
149,64,0.916,0.0
149,66,0.774,0.0
149,63,0.659,0.0
149,0,0.589,0.0
150,64,0.971,0.0
150,66,0.671,0.0
150,63,0.523,0.0
151,64,0.953,0.0
151,66,0.685,0.0
151,63,0.503,0.0
152,64,0.923,0.0
152,63,0.64,0.0
152,66,0.583,0.0
153,64,0.926,0.0
153,63,0.595,0.0
154,64,0.853,0.0
154,66,0.594,0.0
155,64,0.949,0.0
155,66,0.603,0.0
155,63,0.587,0.0
156,64,0.974,0.0
156,66,0.616,0.0
156,63,0.533,0.0
157,64,0.899,0.0
157,66,0.53,0.0
157,63,0.513,0.0
158,64,0.871,0.0
158,66,0.565,0.0
159,64,0.961,0.0
159,66,0.553,0.0
159,63,0.546,0.0
160,64,0.965,0.0
160,66,0.638,0.0
161,64,0.937,0.0
161,66,0.579,0.069
162,64,0.969,0.0
162,66,0.55,0.0
163,64,0.948,0.0
163,66,0.516,0.0
164,64,0.965,0.0
164,66,0.528,0.0
165,64,0.952,0.0
165,0,0.543,0.0
166,64,0.921,0.0
167,64,0.954,0.0
168,64,0.941,0.0
169,64,0.932,0.0
170,64,0.907,0.0
171,64,0.933,0.0
172,64,0.955,0.0
173,64,0.957,0.0
173,66,0.6,0.057
174,64,0.943,0.0
175,64,0.882,0.0
176,64,0.944,0.0
177,64,0.946,0.0
177,66,0.559,0.0
178,64,0.922,0.0
178,0,0.53,0.0
178,66,0.511,0.0
179,64,0.912,0.0
179,0,0.507,0.0
180,64,0.886,0.0
181,64,0.936,0.0
181,66,0.52,0.0
182,64,0.952,0.0
183,64,0.929,0.0
183,66,0.523,0.0
184,64,0.934,0.0
184,66,0.505,0.0
185,64,0.932,0.0
186,64,0.906,0.0
187,64,0.894,0.0
187,66,0.577,0.0
188,64,0.926,0.0
188,66,0.586,0.052
189,64,0.902,0.0
189,66,0.532,0.0
190,64,0.919,0.0
190,66,0.546,0.0
191,64,0.958,0.0
191,0,0.777,0.0
192,63,0.629,0.0
195,64,0.852,0.0
195,0,0.624,0.0
196,66,0.54,0.021
197,64,0.847,0.0
197,63,0.531,0.0
198,0,0.66,0.0
198,63,0.623,0.0
199,63,0.74,0.0
199,0,0.708,0.0
200,0,0.689,0.0
201,0,0.732,0.0
201,66,0.59,0.0
202,0,0.709,0.0
202,66,0.572,0.0
203,64,0.759,0.0
203,0,0.708,0.0
204,64,0.662,0.0
204,0,0.606,0.0
205,64,0.914,0.0
205,0,0.636,0.0
206,64,0.811,0.0
207,64,0.884,0.0
208,0,0.523,0.0
208,64,0.519,0.0
210,64,0.708,0.0
210,0,0.653,0.0
210,66,0.591,0.0
211,64,0.827,0.0
211,0,0.634,0.0
211,66,0.612,0.0
211,63,0.576,0.0
212,64,0.937,0.0
212,66,0.586,0.0
212,63,0.552,0.0
213,64,0.995,0.0
213,66,0.733,0.0
214,64,0.992,0.0
214,66,0.634,0.0
215,64,0.993,0.0
215,66,0.593,0.0
216,64,0.987,0.0
216,66,0.65,0.0
216,63,0.59,0.0
217,64,0.992,0.0
217,63,0.652,0.0
217,66,0.59,0.0
218,64,0.988,0.0
218,66,0.725,0.0
219,64,0.993,0.0
219,66,0.723,0.0
220,64,0.996,0.0
220,66,0.84,0.0
221,64,0.995,0.0
221,66,0.756,0.0
222,64,0.996,0.0
222,66,0.731,0.0
223,64,0.992,0.0
223,66,0.667,0.0
224,64,0.988,0.0
224,63,0.594,0.0
224,66,0.518,0.0
225,64,0.993,0.0
225,63,0.595,0.0
225,66,0.584,0.0
226,64,0.996,0.0
226,66,0.76,0.0
226,63,0.638,0.0
227,64,0.995,0.0
227,63,0.682,0.0
227,66,0.632,0.0
228,64,0.994,0.0
228,66,0.722,0.0
228,63,0.63,0.0
229,64,0.996,0.0
229,66,0.788,0.0
229,63,0.558,0.0
236,27,0.526,0.0
