frame_id,class_name,confidence,x1,y1,x2,y2
0,person,0.6460392475128174,0,245,121,358
1,person,0.6645374298095703,0,220,42,308
1,chair,0.5432316660881042,380,284,446,325
2,person,0.7739546895027161,0,228,53,318
3,person,0.5395631790161133,95,199,212,315
4,person,0.685182511806488,253,166,364,280
5,person,0.8217266201972961,301,189,406,309
5,chair,0.7003008723258972,224,261,310,430
5,chair,0.6629062294960022,0,328,167,479
5,chair,0.6524417400360107,64,261,131,405
6,chair,0.6821576952934265,0,321,188,479
6,person,0.6747481226921082,314,177,418,301
6,chair,0.664168655872345,80,252,146,396
6,dining table,0.5193077325820923,180,389,640,479
6,chair,0.5173364281654358,237,249,331,417
7,person,0.8104928135871887,316,167,422,288
7,chair,0.7624245285987854,0,303,186,479
7,chair,0.7142260074615479,240,237,328,405
7,chair,0.5844579339027405,78,238,147,379
7,dining table,0.5563685297966003,167,380,639,479
8,chair,0.743091881275177,0,301,172,479
8,person,0.7049860954284668,312,171,418,288
8,chair,0.6350435614585876,233,237,319,405
8,dining table,0.6158239245414734,149,390,638,479
8,chair,0.5697404742240906,72,238,141,379
9,person,0.8048310279846191,310,162,417,281
9,chair,0.716497004032135,0,290,170,479
9,dining table,0.6033734679222107,142,374,640,479
9,chair,0.5240440964698792,73,229,141,372
10,person,0.8563677668571472,336,142,442,263
10,chair,0.8167905211448669,0,274,201,479
10,dining table,0.7817662954330444,165,349,640,479
10,chair,0.7300993800163269,258,215,346,375
10,chair,0.6044280529022217,101,216,169,357
11,chair,0.8701722025871277,0,233,234,479
11,dining table,0.8048529624938965,187,300,639,479
11,person,0.7760550379753113,361,96,466,222
11,chair,0.6379193067550659,284,164,376,327
11,chair,0.591122031211853,131,176,194,307
12,chair,0.8323252201080322,0,210,270,479
12,person,0.7730827331542969,388,62,492,187
12,dining table,0.688744068145752,156,267,639,479
12,chair,0.6478880643844604,311,142,409,297
12,chair,0.5536333322525024,162,153,227,281
13,person,0.8470709323883057,398,62,493,196
13,chair,0.8450812101364136,0,216,281,479
13,dining table,0.6697477698326111,247,266,639,478
13,chair,0.5493424534797668,176,157,241,288
13,chair,0.5412548780441284,325,148,421,302
14,person,0.8894224166870117,398,63,491,197
14,chair,0.8535398840904236,0,218,289,479
14,chair,0.6390505433082581,181,159,245,287
14,dining table,0.6379162669181824,251,270,639,478
14,chair,0.5251035690307617,330,148,421,303
15,person,0.8397497534751892,402,38,496,172
15,chair,0.8340926170349121,0,191,291,478
15,dining table,0.688934326171875,165,252,639,479
15,chair,0.595977783203125,185,135,248,258
15,chair,0.532956600189209,334,125,426,280
16,chair,0.6842532753944397,0,117,251,477
16,person,0.6672762632369995,361,0,484,104
16,dining table,0.642744243144989,208,167,639,478
19,chair,0.6482678055763245,48,104,182,397
19,chair,0.5781455636024475,107,88,440,427
